Código do Município (IBGE);Município;Ano;População Total Urbana;Volume de esgoto produzido - 1000 m³;Volume de esgotos coletado - 1000 m³;Volume de esgotos tratado - 1000 m³
5217401.0;Pires do Rio;1992;20179;957.49;0.0;0.0
5217609.0;Planaltina;1992;37598;1784.03;0.0;0.0
5217708.0;Pontalina;1992;13956;662.21;0.0;0.0
5218003.0;Porangatu;1992;37564;1782.41;0.0;0.0
5218052.0;Porteirão;1992;0;0.0;0.0;0.0
5218102.0;Portelândia;1992;2783;132.05;0.0;0.0
5218300.0;Posse;1992;21971;1042.52;0.0;0.0
5218391.0;Professor Jamil;1992;2549;120.95;0.0;0.0
5218508.0;Quirinópolis;1992;31364;1488.22;0.0;0.0
5218607.0;Rialma;1992;8153;386.86;0.0;0.0
5218706.0;Rianápolis;1992;3906;185.34;0.0;0.0
5218789.0;Rio Quente;1992;740;35.11;0.0;0.0
5218805.0;Rio Verde;1992;83771;3974.93;0.0;0.0
5218904.0;Rubiataba;1992;15040;713.65;0.0;0.0
5219001.0;Sanclerlândia;1992;6533;309.99;0.0;0.0
5219100.0;Santa Bárbara de Goiás;1992;3561;168.97;0.0;0.0
5219209.0;Santa Cruz de Goiás;1992;2980;141.4;0.0;0.0
5219258.0;Santa Fé de Goiás;1992;3170;150.42;0.0;0.0
5219308.0;Santa Helena de Goiás;1992;31014;1471.61;0.0;0.0
5219357.0;Santa Isabel;1992;3423;162.42;0.0;0.0
5219407.0;Santa Rita do Araguaia;1992;4148;196.82;0.0;0.0
5219456.0;Santa Rita do Novo Destino;1992;0;0.0;0.0;0.0
5219506.0;Santa Rosa de Goiás;1992;3578;169.78;0.0;0.0
5219605.0;Santa Tereza de Goiás;1992;4585;217.56;0.0;0.0
5219704.0;Santa Terezinha de Goiás;1992;15484;734.72;0.0;0.0
5219712.0;Santo Antônio da Barra;1992;3042;144.34;0.0;0.0
5219738.0;Santo Antônio de Goiás;1992;1851;87.83;0.0;0.0
5219753.0;Santo Antônio do Descoberto;1992;32162;1526.09;0.0;0.0
5219803.0;São Domingos;1992;9422;447.07;0.0;0.0
5219902.0;São Francisco de Goiás;1992;5339;253.34;0.0;0.0
5220009.0;São João d'Aliança;1992;4683;222.21;0.0;0.0
5220058.0;São João da Paraúna;1992;1655;78.53;0.0;0.0
0.0;São Luis de Montes Belos;1992;22558;1070.38;0.0;0.0
5220157.0;São Luiz do Norte;1992;3861;183.2;0.0;0.0
5220207.0;São Miguel do Araguaia;1992;17274;819.65;0.0;0.0
5220264.0;São Miguel do Passa Quatro;1992;2579;122.37;0.0;0.0
5220280.0;São Patrício;1992;0;0.0;0.0;0.0
5220405.0;São Simão;1992;9965;472.84;0.0;0.0
5220454.0;Senador Canedo;1992;22381;1061.98;0.0;0.0
5220504.0;Serranópolis;1992;7285;345.67;0.0;0.0
5220603.0;Silvânia;1992;16290;772.96;0.0;0.0
5220686.0;Simolândia;1992;5150;244.37;0.0;0.0
5220702.0;Sítio d'Abadia;1992;2488;118.06;0.0;0.0
5221007.0;Taquaral de Goiás;1992;3607;171.15;0.0;0.0
5221080.0;Teresina de Goiás;1992;1253;59.45;0.0;0.0
5221197.0;Terezópolis de Goiás;1992;3240;153.74;0.0;0.0
5221304.0;Três Ranchos;1992;2046;97.08;0.0;0.0
5221403.0;Trindade;1992;50454;2394.04;0.0;0.0
5221452.0;Trombas;1992;3570;169.4;0.0;0.0
5221502.0;Turvânia;1992;4773;226.48;0.0;0.0
5221551.0;Turvelândia;1992;2185;103.68;0.0;0.0
5221577.0;Uirapuru;1992;2732;129.63;0.0;0.0
5221601.0;Uruaçu;1992;31728;1505.49;0.0;0.0
5221700.0;Uruana;1992;12606;598.15;0.0;0.0
5221809.0;Urutaí;1992;2507;118.96;0.0;0.0
5221858.0;Valparaíso de Goiás;1992;0;0.0;0.0;0.0
5221908.0;Varjão;1992;3034;143.96;0.0;0.0
5222005.0;Vianópolis;1992;8247;391.32;0.0;0.0
5222054.0;Vicentinópolis;1992;4861;230.65;0.0;0.0
5222203.0;Vila Boa;1992;2656;126.03;0.0;0.0
5222302.0;Vila Propício;1992;0;0.0;0.0;0.0
5200050.0;Abadia de Goiás;1993;0;0.0;0.0;0.0
5200100.0;Abadiânia;1993;8522;404.37;0.0;0.0
5200134.0;Acreúna;1993;13508;640.95;0.0;0.0
5200159.0;Adelândia;1993;2120;100.59;0.0;0.0
5200175.0;Água Fria de Goiás;1993;3607;171.15;0.0;0.0
5200209.0;Água Limpa;1993;1687;80.05;0.0;0.0
5200258.0;Águas Lindas de Goiás;1993;0;0.0;0.0;0.0
5200308.0;Alexânia;1993;15826;750.94;0.0;0.0
5200506.0;Aloândia;1993;1735;82.33;0.0;0.0
5200555.0;Alto Horizonte;1993;1932;91.67;0.0;0.0
5200605.0;Alto Paraíso de Goiás;1993;3962;188.0;0.0;0.0
5200803.0;Alvorada do Norte;1993;6822;323.7;0.0;0.0
5200829.0;Amaralina;1993;0;0.0;0.0;0.0
5200852.0;Americano do Brasil;1993;4357;206.74;0.0;0.0
5200902.0;Amorinópolis;1993;3868;183.54;0.0;0.0
5201108.0;Anápolis;1993;225240;10687.64;0.0;0.0
5201207.0;Anhanguera;1993;800;37.96;0.0;0.0
5201306.0;Anicuns;1993;16502;783.02;0.0;0.0
5201405.0;Aparecida de Goiânia;1993;181995;8635.66;0.0;0.0
5201454.0;Aparecida do Rio Doce;1993;1742;82.66;0.0;0.0
5201504.0;Aporé;1993;3129;148.47;0.0;0.0
5201603.0;Araçu;1993;3309;157.01;0.0;0.0
5201702.0;Aragarças;1993;13088;621.03;0.0;0.0
5201801.0;Aragoiânia;1993;4640;220.17;0.0;0.0
5202155.0;Araguapaz;1993;6805;322.9;0.0;0.0
5202353.0;Arenópolis;1993;3623;171.91;0.0;0.0
5202502.0;Aruanã;1993;4639;220.12;0.0;0.0
5202601.0;Aurilândia;1993;3726;176.8;0.0;0.0
5202809.0;Avelinópolis;1993;2035;96.56;0.0;0.0
5203104.0;Baliza;1993;3901;185.1;0.0;0.0
5203203.0;Barro Alto;1993;8711;413.34;0.0;0.0
5203302.0;Bela Vista de Goiás;1993;14232;675.31;0.0;0.0
5203401.0;Bom Jardim de Goiás;1993;7372;349.8;0.0;0.0
5203500.0;Bom Jesus de Goiás;1993;12785;606.65;0.0;0.0
5203559.0;Bonfinópolis;1993;3145;149.23;0.0;0.0
5203575.0;Bonópolis;1993;0;0.0;0.0;0.0
5203609.0;Brazabrantes;1993;2115;100.36;0.0;0.0
5203807.0;Britânia;1993;4428;210.11;0.0;0.0
5203906.0;Buriti Alegre;1993;7854;372.67;0.0;0.0
5203939.0;Buriti de Goiás;1993;1803;85.55;0.0;0.0
5203962.0;Buritinópolis;1993;2907;137.94;0.0;0.0
5204003.0;Cabeceiras;1993;6109;289.87;0.0;0.0
5204102.0;Cachoeira Alta;1993;7557;358.58;0.0;0.0
5204201.0;Cachoeira de Goiás;1993;1322;62.73;0.0;0.0
5204250.0;Cachoeira Dourada;1993;7848;372.39;0.0;0.0
5204300.0;Caçu;1993;10177;482.9;0.0;0.0
5204409.0;Caiapônia;1993;12220;579.84;0.0;0.0
5204508.0;Caldas Novas;1993;23211;1101.36;0.0;0.0
5204557.0;Caldazinha;1993;1794;85.13;0.0;0.0
5204607.0;Campestre de Goiás;1993;2075;98.46;0.0;0.0
5204656.0;Campinaçu;1993;3916;185.81;0.0;0.0
5204706.0;Campinorte;1993;7484;355.12;0.0;0.0
5204805.0;Campo Alegre de Goiás;1993;4116;195.3;0.0;0.0
5204854.0;Campo Limpo de Goiás;1993;0;0.0;0.0;0.0
5204904.0;Campos Belos;1993;14168;672.27;0.0;0.0
5204953.0;Campos Verdes;1993;15995;758.96;0.0;0.0
5205000.0;Carmo do Rio Verde;1993;9328;442.61;0.0;0.0
5205059.0;Castelândia;1993;2990;141.88;0.0;0.0
5205109.0;Catalão;1993;52388;2485.81;0.0;0.0
5205208.0;Caturaí;1993;3811;180.83;0.0;0.0
5205307.0;Cavalcante;1993;7392;350.75;0.0;0.0
5205406.0;Ceres;1993;20733;983.78;0.0;0.0
5205455.0;Cezarina;1993;5428;257.56;0.0;0.0
5205471.0;Chapadão do Céu;1993;1576;74.78;0.0;0.0
5205497.0;Cidade Ocidental;1993;28947;1373.54;0.0;0.0
5205513.0;Cocalzinho de Goiás;1993;9325;442.47;0.0;0.0
5205521.0;Colinas do Sul;1993;3272;155.26;0.0;0.0
5205703.0;Córrego do Ouro;1993;2865;135.94;0.0;0.0
5205802.0;Corumbá de Goiás;1993;8374;397.35;0.0;0.0
5205901.0;Corumbaíba;1993;4830;229.18;0.0;0.0
5206206.0;Cristalina;1993;23959;1136.85;0.0;0.0
5206305.0;Cristianópolis;1993;2255;107.0;0.0;0.0
5206404.0;Crixás;1993;17797;844.47;0.0;0.0
5206503.0;Cromínia;1993;3081;146.19;0.0;0.0
5206602.0;Cumari;1993;2511;119.15;0.0;0.0
5206701.0;Damianópolis;1993;3330;158.01;0.0;0.0
5206800.0;Damolândia;1993;2389;113.36;0.0;0.0
5206909.0;Davinópolis;1993;1845;87.55;0.0;0.0
5207105.0;Diorama;1993;2297;108.99;0.0;0.0
5208301.0;Divinópolis de Goiás;1993;4632;219.79;0.0;0.0
5207253.0;Doverlândia;1993;9727;461.55;0.0;0.0
5207352.0;Edealina;1993;3817;181.12;0.0;0.0
5207402.0;Edéia;1993;8085;383.63;0.0;0.0
5207501.0;Estrela do Norte;1993;3122;148.14;0.0;0.0
5207535.0;Faina;1993;7029;333.53;0.0;0.0
5207600.0;Fazenda Nova;1993;6292;298.56;0.0;0.0
5207808.0;Firminópolis;1993;8766;415.95;0.0;0.0
5207907.0;Flores de Goiás;1993;4792;227.38;0.0;0.0
5208004.0;Formosa;1993;57784;2741.85;0.0;0.0
5208103.0;Formoso;1993;5380;255.28;0.0;0.0
5208152.0;Gameleira de Goiás;1993;0;0.0;0.0;0.0
5208400.0;Goianápolis;1993;6890;326.93;0.0;0.0
5208509.0;Goiandira;1993;4812;228.33;0.0;0.0
5208608.0;Goianésia;1993;41828;1984.74;0.0;0.0
5208707.0;Goiânia;1993;864584;41024.51;0.0;0.0
5208806.0;Goianira;1993;10389;492.96;0.0;0.0
5208905.0;Goiás;1993;25181;1194.84;0.0;0.0
5209101.0;Goiatuba;1993;30050;1425.87;0.0;0.0
5209150.0;Gouvelândia;1993;3613;171.44;0.0;0.0
5209200.0;Guapó;1993;10878;516.16;0.0;0.0
5209291.0;Guaraíta;1993;2473;117.34;0.0;0.0
5209408.0;Guarani de Goiás;1993;5302;251.58;0.0;0.0
5209457.0;Guarinos;1993;3421;162.33;0.0;0.0
5209606.0;Heitoraí;1993;2631;124.84;0.0;0.0
5209705.0;Hidrolândia;1993;9465;449.11;0.0;0.0
5209804.0;Hidrolina;1993;4519;214.43;0.0;0.0
5209903.0;Iaciara;1993;8962;425.25;0.0;0.0
5209937.0;Inaciolândia;1993;4586;217.61;0.0;0.0
5209952.0;Indiara;1993;9374;444.8;0.0;0.0
5210000.0;Inhumas;1993;35510;1684.95;0.0;0.0
5210109.0;Ipameri;1993;18848;894.34;0.0;0.0
5210158.0;Ipiranga de Goiás;1993;0;0.0;0.0;0.0
5210208.0;Iporá;1993;27477;1303.78;0.0;0.0
5210307.0;Israelândia;1993;2924;138.74;0.0;0.0
5210406.0;Itaberaí;1993;22370;1061.46;0.0;0.0
5210562.0;Itaguari;1993;3569;169.35;0.0;0.0
5210604.0;Itaguaru;1993;5635;267.38;0.0;0.0
5210802.0;Itajá;1993;5504;261.16;0.0;0.0
5210901.0;Itapaci;1993;11679;554.17;0.0;0.0
5211008.0;Itapirapuã;1993;7950;377.23;0.0;0.0
5211206.0;Itapuranga;1993;25820;1225.16;0.0;0.0
5211305.0;Itarumã;1993;5317;252.29;0.0;0.0
5211404.0;Itauçu;1993;7621;361.62;0.0;0.0
5211503.0;Itumbiara;1993;69023;3275.14;0.0;0.0
5211602.0;Ivolândia;1993;2626;124.6;0.0;0.0
5211701.0;Jandaia;1993;5803;275.35;0.0;0.0
5211800.0;Jaraguá;1993;24863;1179.75;0.0;0.0
5211909.0;Jataí;1993;57972;2750.77;0.0;0.0
5212006.0;Jaupaci;1993;2907;137.94;0.0;0.0
5212055.0;Jesúpolis;1993;1839;87.26;0.0;0.0
5212105.0;Joviânia;1993;5829;276.59;0.0;0.0
5212204.0;Jussara;1993;19359;918.58;0.0;0.0
5212253.0;Lagoa Santa;1993;0;0.0;0.0;0.0
5212303.0;Leopoldo de Bulhões;1993;7025;333.34;0.0;0.0
5212501.0;Luziânia;1993;178285;8459.62;0.0;0.0
5212600.0;Mairipotaba;1993;2389;113.36;0.0;0.0
5212709.0;Mambaí;1993;3758;178.32;0.0;0.0
5212808.0;Mara Rosa;1993;14220;674.74;0.0;0.0
5212907.0;Marzagão;1993;1329;63.06;0.0;0.0
5212956.0;Matrinchã;1993;3566;169.21;0.0;0.0
5213004.0;Maurilândia;1993;6973;330.87;0.0;0.0
5213053.0;Mimoso de Goiás;1993;3267;155.02;0.0;0.0
5213087.0;Minaçu;1993;29883;1417.95;0.0;0.0
5213103.0;Mineiros;1993;29923;1419.85;0.0;0.0
5213400.0;Moiporá;1993;1963;93.14;0.0;0.0
5213509.0;Monte Alegre de Goiás;1993;7353;348.9;0.0;0.0
5213707.0;Montes Claros de Goiás;1993;7420;352.08;0.0;0.0
5213756.0;Montividiu;1993;5158;244.75;0.0;0.0
5213772.0;Montividiu do Norte;1993;2151;102.06;0.0;0.0
5213806.0;Morrinhos;1993;29541;1401.72;0.0;0.0
5213855.0;Morro Agudo de Goiás;1993;2201;104.44;0.0;0.0
5213905.0;Mossâmedes;1993;6150;291.82;0.0;0.0
5214002.0;Mozarlândia;1993;9302;441.38;0.0;0.0
5214051.0;Mundo Novo;1993;4909;232.93;0.0;0.0
5214101.0;Mutunópolis;1993;3551;168.49;0.0;0.0
5214408.0;Nazário;1993;5755;273.07;0.0;0.0
5214507.0;Nerópolis;1993;12369;586.91;0.0;0.0
5214606.0;Niquelândia;1993;37715;1789.58;0.0;0.0
5214705.0;Nova América;1993;1761;83.56;0.0;0.0
5214804.0;Nova Aurora;1993;1654;78.48;0.0;0.0
